species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,Torgersen,39.1,18.7,181,3750,male,2007
NA,Torgersen,39.5,17.4,186,3800,female,2007
Adelie,Torgersen,40.3,18,NA,3250,female,2007
Adelie,Torgersen,NA,NA,NA,NA,NA,2007
Adelie,Torgersen,36.7,19.3,193,3450,female,2007
Adelie,Torgersen,39.3,20.6,190,3650,male,2007
Adelie,Torgersen,38.9,17.8,NA,3625,female,2007
Adelie,Torgersen,39.2,19.6,NA,4675,male,2007
Adelie,Torgersen,34.1,18.1,NA,3475,NA,2007
Adelie,Torgersen,42,20.2,190,4250,NA,2007
Adelie,Torgersen,37.8,17.1,186,3300,NA,2007
Adelie,Torgersen,37.8,17.3,NA,3700,NA,2007
Adelie,Torgersen,41.1,17.6,NA,3200,female,2007
Adelie,Torgersen,38.6,21.2,NA,3800,male,2007
Adelie,Torgersen,34.6,21.1,NA,4400,male,2007
Adelie,Torgersen,36.6,17.8,185,3700,female,2007
Adelie,Torgersen,38.7,19,195,3450,female,2007
Adelie,Torgersen,42.5,20.7,197,NA,male,2007
Adelie,Torgersen,34.4,18.4,184,NA,female,2007
Adelie,Torgersen,46,21.5,194,NA,male,2007
NA,Biscoe,37.8,18.3,NA,3400,female,2007
Adelie,Biscoe,37.7,18.7,NA,3600,male,2007
Adelie,Biscoe,35.9,19.2,NA,3800,female,2007
Adelie,Biscoe,38.2,18.1,NA,3950,male,2007
Adelie,Biscoe,38.8,17.2,NA,3800,male,2007
Adelie,Biscoe,35.3,18.9,187,3800,female,2007
Adelie,Biscoe,40.6,18.6,NA,3550,male,2007
Adelie,Biscoe,40.5,17.9,NA,3200,female,2007
Adelie,Biscoe,37.9,18.6,NA,3150,female,2007
Adelie,Biscoe,40.5,18.9,NA,NA,male,2007
Adelie,Dream,39.5,16.7,NA,NA,female,2007
Adelie,Dream,37.2,18.1,NA,3900,male,2007
Adelie,Dream,39.5,17.8,188,3300,female,2007
Adelie,Dream,40.9,18.9,NA,3900,male,2007
Adelie,Dream,36.4,17,NA,3325,female,2007
Adelie,Dream,39.2,21.1,NA,4150,male,2007
Adelie,Dream,38.8,20,190,3950,male,2007
Adelie,Dream,42.2,18.5,180,3550,female,2007
Adelie,Dream,37.6,19.3,NA,3300,female,2007
Adelie,Dream,39.8,19.1,NA,4650,male,2007
Adelie,Dream,36.5,18,NA,3150,female,2007
Adelie,Dream,40.8,18.4,195,3900,male,2007
Adelie,Dream,36,18.5,NA,3100,female,2007
Adelie,Dream,44.1,19.7,NA,4400,male,2007
Adelie,Dream,37,16.9,NA,3000,female,2007
Adelie,Dream,39.6,18.8,190,4600,male,2007
Adelie,Dream,41.1,19,NA,3425,male,2007
Adelie,Dream,37.5,18.9,NA,2975,NA,2007
Adelie,Dream,36,17.9,NA,3450,female,2007
Adelie,Dream,42.3,21.2,NA,NA,male,2007
Adelie,Biscoe,39.6,17.7,NA,3500,female,2008
Adelie,Biscoe,40.1,18.9,188,4300,male,2008
Adelie,Biscoe,35,17.9,190,3450,female,2008
Adelie,Biscoe,42,19.5,200,4050,male,2008
Adelie,Biscoe,34.5,18.1,187,2900,female,2008
Adelie,Biscoe,41.4,18.6,191,3700,male,2008
Adelie,Biscoe,39,17.5,NA,NA,female,2008
Adelie,Biscoe,40.6,18.8,NA,3800,male,2008
NA,Biscoe,36.5,16.6,NA,2850,female,2008
NA,Biscoe,37.6,19.1,NA,3750,male,2008
NA,Biscoe,35.7,16.9,NA,3150,female,2008
Adelie,Biscoe,41.3,21.1,NA,4400,male,2008
Adelie,Biscoe,37.6,17,185,3600,female,2008
Adelie,Biscoe,41.1,18.2,192,4050,male,2008
Adelie,Biscoe,36.4,17.1,184,2850,female,2008
Adelie,Biscoe,41.6,18,192,3950,male,2008
Adelie,Biscoe,35.5,16.2,NA,3350,female,2008
Adelie,Biscoe,41.1,19.1,NA,4100,male,2008
Adelie,Torgersen,35.9,16.6,NA,3050,female,2008
